code,name,kind,slip_mult
301584,建发致新,small,2.0
603406,天富龙,small,2.0
603014,威高血净,small,2.0
605011,杭州热电,small,2.0
605099,共创草坪,small,2.0
001382,新亚电缆,small,2.0
601068,中铝国际,small,2.0
603013,亚普股份,small,2.0
603219,富佳股份,small,2.0
603248,锡华科技,small,2.0
301371,敷尔佳,small,2.0
605118,力鼎光电,small,2.0
001233,海安集团,small,2.0
603693,江苏新能,small,2.0
301339,通行宝,small,2.0
000030,富奥股份,small,2.0
601026,道生天合,small,2.0
000058,深赛格,small,2.0
301215,中汽股份,small,2.0
301556,托普云农,small,2.0
603402,陕西旅游,small,2.0
003039,顺控发展,small,2.0
603395,红四方,small,2.0
600956,新天绿能,small,2.0
002911,佛燃能源,small,2.0
002287,奇正藏药,small,2.0
601089,福元医药,small,2.0
603983,丸美生物,small,2.0
000885,城发环境,small,2.0
605116,奥锐特,small,2.0
601022,宁波远洋,small,2.0
600618,氯碱化工,small,2.0
001236,弘业期货,small,2.0
003006,百亚股份,small,2.0
301565,中仑新材,small,2.0
301101,明月镜片,small,2.0
301000,肇民科技,small,2.0
510300,沪深300ETF,etf,1.0
510500,中证500ETF,etf,1.0
512100,中证1000ETF,etf,1.0
588000,科创50ETF,etf,1.0
159915,创业板ETF,etf,1.0
159949,创业板50,etf,1.0
512880,证券ETF,etf,1.0
512690,酒ETF,etf,1.0
512480,半导体ETF,etf,1.0
512660,军工ETF,etf,1.0
512800,银行ETF,etf,1.0
512010,医药ETF,etf,1.0
515790,光伏ETF,etf,1.0
515030,新能源车ETF,etf,1.0
518880,黄金ETF,etf,1.0
510880,红利ETF,etf,1.0
513100,纳指ETF,etf,1.0
513500,标普500ETF,etf,1.0
159920,恒生ETF,etf,1.0
511010,国债ETF,etf,1.0
