leg,trader,face,start,window,ret,dd,n_trades,passive,beat,events_n,regime_state,segment
L,COMPOSITE-CE-01,x1,2021-02-22,12m,0.054416,-0.0334,77,-0.158541,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-22,24m,-0.071224,-0.1704,144,-0.19842,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-23,6m,0.015288,-0.0334,38,-0.058095,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-23,12m,0.068595,-0.0334,78,-0.171571,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-23,24m,-0.060643,-0.1706,146,-0.196781,1,12,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-02-24,6m,0.01936,-0.0333,39,-0.040928,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-24,12m,0.085726,-0.0333,79,-0.173365,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-24,24m,-0.05795,-0.1701,146,-0.177156,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-25,6m,0.031207,-0.0329,41,-0.04077,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-25,12m,0.096875,-0.0329,82,-0.170117,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-25,24m,-0.04728,-0.1679,148,-0.16626,1,12,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-26,6m,0.027365,-0.033,39,-0.016421,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-26,12m,0.074544,-0.033,81,-0.142537,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-02-26,24m,-0.049929,-0.1685,146,-0.140597,1,11,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-01,6m,0.021318,-0.0335,40,-0.030157,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-01,12m,0.068344,-0.0335,81,-0.152039,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-01,24m,-0.056989,-0.1698,146,-0.151914,1,11,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-02,6m,0.037822,-0.0329,40,-0.02471,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-02,12m,0.075374,-0.0329,81,-0.165745,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-02,24m,-0.04915,-0.1683,147,-0.146027,1,11,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-03,6m,0.032335,-0.0331,38,-0.039249,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-03,12m,0.059473,-0.0331,79,-0.206964,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-03,24m,-0.057639,-0.1693,145,-0.162513,1,11,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-04,6m,0.056726,-0.0288,39,-0.01082,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-04,12m,0.088138,-0.0288,80,-0.156687,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-04,24m,-0.018126,-0.1639,150,-0.138017,1,11,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-03-05,6m,0.045787,-0.0292,37,-0.015876,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-05,12m,0.074286,-0.0292,78,-0.139814,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-05,24m,-0.022083,-0.1654,145,-0.131149,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-08,6m,0.051249,-0.0295,38,0.031088,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-08,12m,0.080137,-0.0295,78,-0.109259,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-08,24m,-0.014236,-0.1653,146,-0.102521,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-09,6m,0.052862,-0.0296,38,0.065181,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-09,12m,0.078641,-0.0296,78,-0.087792,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-09,24m,-0.015723,-0.1651,146,-0.070971,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-10,6m,0.052865,-0.0295,38,0.056159,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-10,12m,0.080209,-0.0295,78,-0.0912,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-10,24m,-0.023572,-0.1695,147,-0.072142,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-11,6m,0.038767,-0.0299,38,0.034217,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-11,12m,0.06741,-0.0299,78,-0.104053,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-11,24m,-0.047031,-0.1691,144,-0.090813,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-12,6m,0.036431,-0.0299,39,0.041992,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-12,12m,0.074909,-0.0299,79,-0.107504,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-12,24m,-0.048748,-0.1696,144,-0.082967,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-15,6m,0.033189,-0.0296,39,0.055079,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-15,12m,0.075668,-0.0296,78,-0.103635,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-15,24m,-0.054731,-0.17,144,-0.076432,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-16,6m,0.039569,-0.0294,39,0.046135,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-16,12m,0.078779,-0.0294,80,-0.111714,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-16,24m,-0.045053,-0.1688,144,-0.077782,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-17,6m,0.029528,-0.0296,39,0.0341,0,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-17,12m,0.069661,-0.0296,81,-0.121295,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-17,24m,-0.049385,-0.1701,144,-0.082041,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-18,6m,0.049949,-0.0282,38,0.011037,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-18,12m,-0.005245,-0.0984,81,-0.122105,1,9,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-18,24m,-0.016353,-0.1696,146,-0.094616,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-19,6m,0.05526,-0.031,38,0.031042,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-19,12m,-0.005227,-0.1002,81,-0.116261,1,9,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-19,24m,-0.009438,-0.1655,143,-0.074757,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-22,6m,0.034557,-0.0309,38,0.034312,1,6,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-22,12m,-0.016146,-0.1022,81,-0.109595,1,9,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-22,24m,-0.04115,-0.1685,144,-0.067872,1,11,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-23,6m,0.042807,-0.0329,37,0.047916,0,5,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-23,12m,-0.01767,-0.1065,80,-0.108568,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-23,24m,-0.039999,-0.168,143,-0.060925,1,10,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-24,6m,0.048443,-0.028,38,0.057521,0,5,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-24,12m,-0.015896,-0.1103,80,-0.110408,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-24,24m,-0.016611,-0.1654,142,-0.05588,1,10,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-25,6m,0.037775,-0.0319,37,0.049707,0,5,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-25,12m,-0.022023,-0.1113,80,-0.11246,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-25,24m,-0.043385,-0.1684,142,-0.057759,1,10,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-26,6m,0.03191,-0.033,38,0.029521,1,5,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-26,12m,-0.028198,-0.112,82,-0.153674,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-26,24m,-0.052717,-0.1688,145,-0.092662,1,10,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-29,6m,0.024802,-0.0331,38,0.028059,0,5,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-29,12m,-0.036143,-0.117,82,-0.133561,1,8,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-29,24m,-0.057598,-0.1692,145,-0.091343,1,10,ORANGE,bear
L,COMPOSITE-CE-01,x1,2021-03-30,6m,0.020246,-0.0295,38,0.031932,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-03-30,12m,-0.033261,-0.1172,82,-0.144636,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-03-30,24m,-0.062032,-0.1694,146,-0.103794,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-03-31,6m,0.022438,-0.0294,36,0.039155,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-03-31,12m,-0.022545,-0.1166,80,-0.1288,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-03-31,24m,-0.05845,-0.1685,144,-0.097188,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-01,6m,0.012323,-0.0345,37,0.025163,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-01,12m,-0.03871,-0.1179,79,-0.143448,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-01,24m,-0.071366,-0.1705,143,-0.108435,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-02,6m,-0.002708,-0.0353,39,-0.001664,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-02,12m,-0.051264,-0.119,80,-0.1507,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-02,24m,-0.056192,-0.1698,144,-0.107259,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-06,6m,0.001224,-0.0353,39,0.007865,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-06,12m,-0.048992,-0.1186,80,-0.153483,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-06,24m,-0.051621,-0.1693,144,-0.108555,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-07,6m,0.012795,-0.0352,39,0.013885,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-07,12m,-0.046287,-0.1185,80,-0.165186,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-07,24m,-0.043687,-0.1669,143,-0.111243,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-08,6m,0.015496,-0.0352,40,0.020946,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-08,12m,-0.040328,-0.1189,80,-0.179619,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-08,24m,-0.051231,-0.1697,144,-0.105343,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-09,6m,0.023054,-0.0348,40,0.026432,0,4,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-09,12m,-0.042708,-0.1186,80,-0.178283,1,7,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-09,24m,-0.047815,-0.1693,143,-0.108091,1,9,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-12,6m,0.035327,-0.03,41,0.062356,0,4,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-12,12m,-0.041201,-0.1181,81,-0.196928,1,7,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-12,24m,-0.059209,-0.1699,144,-0.087765,1,9,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-13,6m,0.020918,-0.0344,41,0.060038,0,3,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-13,12m,-0.045918,-0.119,82,-0.205681,1,6,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-13,24m,-0.026361,-0.1666,146,-0.086501,1,8,YELLOW,chop
L,COMPOSITE-CE-01,x1,2021-04-14,6m,0.021865,-0.0313,40,0.047418,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-14,12m,-0.0447,-0.1187,83,-0.189339,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-14,24m,-0.056462,-0.1706,143,-0.105126,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-15,6m,0.013907,-0.0358,40,0.052043,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-15,12m,-0.051397,-0.1195,83,-0.186487,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-15,24m,-0.043303,-0.1697,143,-0.093149,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-16,6m,0.011405,-0.0363,40,0.05395,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-16,12m,-0.049758,-0.1197,83,-0.165736,1,6,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-16,24m,-0.044703,-0.1699,143,-0.102553,1,8,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-19,6m,0.014965,-0.0352,40,0.030658,0,3,GREEN,bull
L,COMPOSITE-CE-01,x1,2021-04-19,12m,-0.051547,-0.1198,83,-0.182615,1,6,GREEN,bull
