name,trigger,entry_mode,exit_regime,cost_face,status,n_trades,n_entries,annual_return,sharpe,max_drawdown,oos_sharpe,oos_annual_return,stop_bite_rate,skill_line,g1_pass,d6_registered_ok,d6_same_batch,delta_sharpe,delta_max_drawdown,delta_stop_bite,note
rand_ce_p0.02_s4,,ce,x1,ok,,,0.0242,0.2766,-0.2383,0.3191,0.0197,,,,,,,,p=0.02 seed=56554
rand_ce_p0.02_s5,,ce,x1,ok,,,-0.0003,0.0333,-0.2017,0.6559,0.0528,,,,,,,,p=0.02 seed=56555
rand_ce_p0.02_s6,,ce,x1,ok,,,-0.0119,-0.1197,-0.2228,0.7026,0.0576,,,,,,,,p=0.02 seed=56556
rand_ce_p0.02_s7,,ce,x1,ok,,,-0.0343,-0.3544,-0.3289,0.3322,0.0268,,,,,,,,p=0.02 seed=56557
rand_ce_p0.02_s8,,ce,x1,ok,,,0.0235,0.274,-0.2408,0.2179,0.0132,,,,,,,,p=0.02 seed=56558
rand_ce_p0.02_s9,,ce,x1,ok,,,-0.0038,-0.0075,-0.2325,0.7587,0.0693,,,,,,,,p=0.02 seed=56559
rand_ce_p0.02_s10,,ce,x1,ok,,,0.032,0.3624,-0.1598,0.8704,0.0591,,,,,,,,p=0.02 seed=56560
rand_ce_p0.02_s11,,ce,x1,ok,,,-0.0175,-0.171,-0.2684,-0.0079,-0.0049,,,,,,,,p=0.02 seed=56561
rand_ce_p0.02_s12,,ce,x1,ok,,,-0.0067,-0.0586,-0.2197,0.6189,0.0458,,,,,,,,p=0.02 seed=56562
rand_ce_p0.02_s13,,ce,x1,ok,,,0.0002,0.0386,-0.2245,0.6415,0.0467,,,,,,,,p=0.02 seed=56563
rand_ce_p0.02_s14,,ce,x1,ok,,,-0.0044,-0.0263,-0.227,0.4335,0.0338,,,,,,,,p=0.02 seed=56564
rand_ce_p0.02_s15,,ce,x1,ok,,,-0.0194,-0.2225,-0.272,0.8004,0.0555,,,,,,,,p=0.02 seed=56565
rand_ce_p0.02_s16,,ce,x1,ok,,,-0.0011,0.025,-0.2039,0.9409,0.0682,,,,,,,,p=0.02 seed=56566
rand_ce_p0.02_s17,,ce,x1,ok,,,0.0019,0.0623,-0.2052,0.9439,0.0735,,,,,,,,p=0.02 seed=56567
rand_ce_p0.02_s18,,ce,x1,ok,,,-0.0079,-0.0572,-0.2963,0.5235,0.0414,,,,,,,,p=0.02 seed=56568
rand_ce_p0.02_s19,,ce,x1,ok,,,-0.0137,-0.0714,-0.3166,0.5508,0.0431,,,,,,,,p=0.02 seed=56569
rand_ce_p0.02_s20,,ce,x1,ok,,,0.0141,0.1681,-0.3008,0.6743,0.0514,,,,,,,,p=0.02 seed=56570
rand_ce_p0.02_s21,,ce,x1,ok,,,-0.0164,-0.1831,-0.2061,-0.0971,-0.0131,,,,,,,,p=0.02 seed=56571
rand_ce_p0.02_s22,,ce,x1,ok,,,-0.003,0.0015,-0.207,0.3772,0.0313,,,,,,,,p=0.02 seed=56572
rand_ce_p0.02_s23,,ce,x1,ok,,,0.0004,0.0543,-0.2962,0.279,0.0186,,,,,,,,p=0.02 seed=56573
rand_ce_p0.02_s24,,ce,x1,ok,,,0.0373,0.4653,-0.1343,0.6547,0.0399,,,,,,,,p=0.02 seed=56574
rand_ce_p0.05_s25,,ce,x1,ok,,,-0.0023,0.0098,-0.272,0.7217,0.0601,,,,,,,,p=0.05 seed=56575
rand_ce_p0.05_s26,,ce,x1,ok,,,0.0427,0.6004,-0.1247,0.5456,0.0299,,,,,,,,p=0.05 seed=56576
rand_ce_p0.05_s27,,ce,x1,ok,,,-0.0174,-0.1727,-0.2521,0.5445,0.049,,,,,,,,p=0.05 seed=56577
rand_ce_p0.05_s28,,ce,x1,ok,,,0.0072,0.1348,-0.1563,0.6915,0.0492,,,,,,,,p=0.05 seed=56578
rand_ce_p0.05_s29,,ce,x1,ok,,,0.0414,0.4632,-0.1367,1.7396,0.1087,,,,,,,,p=0.05 seed=56579
rand_ce_p0.05_s30,,ce,x1,ok,,,-0.0162,-0.1248,-0.353,0.7814,0.0659,,,,,,,,p=0.05 seed=56580
rand_ce_p0.05_s31,,ce,x1,ok,,,-0.0113,-0.1236,-0.1793,0.2886,0.02,,,,,,,,p=0.05 seed=56581
rand_ce_p0.05_s32,,ce,x1,ok,,,0.0024,0.0702,-0.1638,0.5573,0.0428,,,,,,,,p=0.05 seed=56582
rand_ce_p0.05_s33,,ce,x1,ok,,,0.0422,0.5249,-0.1758,1.491,0.0878,,,,,,,,p=0.05 seed=56583
rand_ce_p0.05_s34,,ce,x1,ok,,,-0.0072,-0.0588,-0.2516,0.5774,0.0477,,,,,,,,p=0.05 seed=56584
rand_ce_p0.05_s35,,ce,x1,ok,,,0.0055,0.1084,-0.2053,0.9353,0.0755,,,,,,,,p=0.05 seed=56585
rand_ce_p0.05_s36,,ce,x1,ok,,,0.0117,0.1862,-0.2011,0.9514,0.0705,,,,,,,,p=0.05 seed=56586
rand_ce_p0.05_s37,,ce,x1,ok,,,-0.0265,-0.2475,-0.3464,0.421,0.0397,,,,,,,,p=0.05 seed=56587
rand_ce_p0.05_s38,,ce,x1,ok,,,-0.0008,0.031,-0.2409,0.7944,0.0678,,,,,,,,p=0.05 seed=56588
rand_ce_p0.05_s39,,ce,x1,ok,,,0.0055,0.1046,-0.2173,0.1869,0.0108,,,,,,,,p=0.05 seed=56589
rand_ce_p0.05_s40,,ce,x1,ok,,,0.0006,0.0457,-0.2197,0.9927,0.0764,,,,,,,,p=0.05 seed=56590
rand_ce_p0.05_s41,,ce,x1,ok,,,0.0187,0.278,-0.2332,1.0714,0.0791,,,,,,,,p=0.05 seed=56591
rand_ce_p0.05_s42,,ce,x1,ok,,,0.0308,0.3796,-0.0935,0.3332,0.02,,,,,,,,p=0.05 seed=56592
rand_ce_p0.05_s43,,ce,x1,ok,,,-0.006,-0.0419,-0.1813,0.1611,0.0101,,,,,,,,p=0.05 seed=56593
rand_ce_p0.05_s44,,ce,x1,ok,,,0.0022,0.067,-0.1917,0.5878,0.0402,,,,,,,,p=0.05 seed=56594
rand_ce_p0.05_s45,,ce,x1,ok,,,-0.0278,-0.3383,-0.2744,0.2248,0.0164,,,,,,,,p=0.05 seed=56595
rand_ce_p0.05_s46,,ce,x1,ok,,,0.0327,0.3965,-0.132,0.4291,0.0278,,,,,,,,p=0.05 seed=56596
rand_ce_p0.05_s47,,ce,x1,ok,,,0.0138,0.1838,-0.1634,-0.1462,-0.0121,,,,,,,,p=0.05 seed=56597
rand_ce_p0.05_s48,,ce,x1,ok,,,-0.055,-0.5169,-0.4131,0.2209,0.0185,,,,,,,,p=0.05 seed=56598
rand_ce_p0.05_s49,,ce,x1,ok,,,0.0063,0.1238,-0.2161,0.3176,0.0202,,,,,,,,p=0.05 seed=56599
ew48_buyhold,passive_null,none,formula,ok,0,0,0.0348,0.2825,-0.3843,0.6417,0.1062,,,,,,,,"J8 formula, consistency info"
ew48_monthly_rebal,passive_null,none,formula,ok,0,0,0.0487,0.3606,-0.3652,0.7296,0.1162,,,,,,,,"J8 formula, consistency info"
