member,kind,point,regime,full_sharpe,oos_sharpe,n_trades,verdict
PROS-RSRS-CE-01,nbhd,"{""z_win"": 480}",ce,0.0593,0.7817,551,RED
PROS-RSRS-CE-01,center,,ce,0.0334,0.8398,657,anchor=OK worst_year=-0.09
PROS-RSRS-CE-01,x3,,ce,-0.374,0.354,657,
PROS-TMU-01,nbhd,"{""big_yang"": 0.02}",default,0.2078,0.5313,136,RED
PROS-TMU-01,nbhd,"{""big_yang"": 0.04}",default,-0.5596,-0.5171,20,RED
PROS-TMU-01,center,,default,0.0897,0.5381,54,anchor=OK worst_year=-0.0199
PROS-TMU-01,x3,,default,-0.0835,0.3804,54,
PROS-TMU-CE-01,nbhd,"{""big_yang"": 0.02}",ce,0.2381,0.4951,123,RED
PROS-TMU-CE-01,nbhd,"{""big_yang"": 0.04}",ce,-0.5739,-0.6066,18,RED
PROS-TMU-CE-01,center,,ce,0.0945,0.5009,49,anchor=OK worst_year=-0.0198
PROS-TMU-CE-01,x3,,ce,-0.0646,0.3739,49,
PROS-VOB-CE-01,nbhd,"{""brk_len"": 15}",ce,0.4663,1.379,859,green
PROS-VOB-CE-01,nbhd,"{""brk_len"": 25}",ce,0.3029,0.3639,771,RED
PROS-VOB-CE-01,nbhd,"{""exit_len"": 14}",ce,0.5336,1.7897,804,green
PROS-VOB-CE-01,nbhd,"{""exit_len"": 7}",ce,0.3351,0.5765,829,RED
PROS-VOB-CE-01,nbhd,"{""vol_avg_len"": 15}",ce,0.4016,1.3117,822,RED
PROS-VOB-CE-01,nbhd,"{""vol_avg_len"": 25}",ce,0.3935,1.2498,801,RED
PROS-VOB-CE-01,nbhd,"{""vol_mult"": 1.3}",ce,0.4538,1.0752,851,green
PROS-VOB-CE-01,nbhd,"{""vol_mult"": 1.7}",ce,0.2785,1.0709,777,RED
PROS-VOB-CE-01,center,,ce,0.4665,1.267,803,anchor=OK worst_year=-0.0389
PROS-VOB-CE-01,x3,,ce,-0.0617,0.6978,803,
