factor,status,skip_reason,compute_s,h5_full_ic,h5_full_ir,h5_full_n,h5_is_ic,h5_is_ir,h5_is_n,h5_oos_ic,h5_oos_ir,h5_oos_n,h5_pass,h5_strong,h10_full_ic,h10_full_ir,h10_full_n,h10_is_ic,h10_is_ir,h10_is_n,h10_oos_ic,h10_oos_ir,h10_oos_n,h10_pass,h10_strong,h20_full_ic,h20_full_ir,h20_full_n,h20_is_ic,h20_is_ir,h20_is_n,h20_oos_ic,h20_oos_ir,h20_oos_n,h20_pass,h20_strong,in_pool,strong_tier,h10_v1,h10_v2,h10_v3,h10_strict_all
alpha055,ok,,0.13,-0.0008,-0.005,1610,0.0011,0.007,1196,-0.0064,-0.038,414,False,False,-0.0031,-0.019,1605,-0.0014,-0.008,1196,-0.0081,-0.051,409,False,False,-0.0011,-0.007,1595,0.0023,0.014,1196,-0.0114,-0.073,399,False,False,False,False,False,False,True,False
alpha057,ok,,0.04,0.0059,0.022,1596,0.0039,0.015,1182,0.0115,0.042,414,False,False,-0.0019,-0.007,1591,-0.0018,-0.007,1182,-0.0021,-0.008,409,False,False,0.003,0.012,1581,0.0028,0.011,1182,0.0035,0.013,399,False,False,False,False,False,False,True,False
alpha060,ok,,0.05,0.0058,0.021,1617,0.0043,0.016,1203,0.0102,0.039,414,False,False,-0.0009,-0.003,1612,-0.0018,-0.007,1203,0.002,0.008,409,False,False,0.0056,0.021,1602,0.0057,0.021,1203,0.0056,0.021,399,False,False,False,False,False,False,False,False
alpha061,ok,,0.11,-0.0334,-0.156,1431,-0.031,-0.147,1017,-0.0391,-0.178,414,True,True,-0.0361,-0.167,1426,-0.0375,-0.177,1017,-0.0326,-0.145,409,True,True,-0.0354,-0.166,1416,-0.0312,-0.145,1017,-0.0461,-0.219,399,True,True,True,True,True,False,True,False
alpha062,ok,,0.17,-0.0085,-0.042,1578,-0.007,-0.034,1164,-0.0128,-0.063,414,False,False,-0.0208,-0.103,1573,-0.0158,-0.079,1164,-0.0351,-0.169,409,True,True,-0.0091,-0.048,1563,-0.006,-0.032,1164,-0.0183,-0.097,399,False,False,True,True,False,False,True,False
alpha064,ok,,0.11,-0.0227,-0.104,1481,-0.013,-0.061,1067,-0.0477,-0.207,414,True,True,-0.0344,-0.154,1476,-0.0256,-0.115,1067,-0.0575,-0.253,409,True,True,-0.0289,-0.136,1466,-0.0138,-0.066,1067,-0.0695,-0.321,399,True,True,True,True,True,False,True,False
alpha065,ok,,0.1,-0.0229,-0.108,1555,-0.0165,-0.078,1141,-0.0404,-0.189,414,True,True,-0.0333,-0.158,1550,-0.0273,-0.131,1141,-0.0501,-0.231,409,True,True,-0.0366,-0.175,1540,-0.0308,-0.151,1141,-0.0533,-0.24,399,True,True,True,True,True,False,True,False
alpha066,ok,,0.62,-0.0022,-0.009,1611,0.0074,0.03,1197,-0.0302,-0.121,414,False,False,-0.0014,-0.006,1606,0.0075,0.031,1197,-0.0275,-0.111,409,False,False,-0.0048,-0.02,1596,0.0087,0.037,1197,-0.045,-0.186,399,False,False,False,False,False,False,False,False
alpha068,ok,,0.81,0.0028,0.013,1593,0.0056,0.027,1179,-0.0052,-0.023,414,False,False,0.0034,0.016,1588,0.0109,0.054,1179,-0.0183,-0.079,409,False,False,-0.0054,-0.026,1578,-0.001,-0.005,1179,-0.0185,-0.08,399,False,False,False,False,False,False,False,False
alpha071,ok,,2.78,-0.0099,-0.048,1402,-0.0108,-0.051,988,-0.0077,-0.04,414,False,False,-0.0172,-0.084,1397,-0.0131,-0.063,988,-0.0272,-0.135,409,True,True,-0.0127,-0.063,1387,-0.0089,-0.044,988,-0.0219,-0.111,399,False,False,True,True,False,False,True,False
