axis,trader,face,window,segment,n,beat_rate,min_dd,mean_dd,oos_trades,ci95_width,verdict
legacy,NEEDLE-DE-01,base,24m,all,877,0.4527,-0.0308,-0.019,13882,0.0661,False
legacy,NEEDLE-DE-01,base,24m,bear,672,0.4077,-0.0308,None,None,None,None
legacy,NEEDLE-DE-01,base,24m,bull,126,0.9127,-0.0266,None,None,None,None
legacy,NEEDLE-DE-01,base,24m,chop,79,0.1013,-0.0306,None,None,None,None
legacy,NEEDLE-DE-01,x2,24m,all,877,0.4515,-0.0321,-0.0197,13882,0.0661,False
legacy,NEEDLE-DE-01,x2,24m,bear,672,0.4077,-0.0321,None,None,None,None
legacy,NEEDLE-DE-01,x2,24m,bull,126,0.9127,-0.0274,None,None,None,None
legacy,NEEDLE-DE-01,x2,24m,chop,79,0.0886,-0.0319,None,None,None,None
legacy,VOLATILITY-CE-01,base,6m,all,1255,0.5721,-0.0364,-0.0142,47226,0.0542,False
legacy,VOLATILITY-CE-01,base,6m,bear,698,0.649,-0.0364,None,None,None,None
legacy,VOLATILITY-CE-01,base,6m,bull,470,0.4362,-0.0266,None,None,None,None
legacy,VOLATILITY-CE-01,base,6m,chop,87,0.6897,-0.0238,None,None,None,None
legacy,VOLATILITY-CE-01,x2,6m,all,1255,0.5386,-0.0463,-0.0177,47226,0.0542,False
legacy,VOLATILITY-CE-01,x2,6m,bear,698,0.6189,-0.0463,None,None,None,None
legacy,VOLATILITY-CE-01,x2,6m,bull,470,0.3936,-0.0286,None,None,None,None
legacy,VOLATILITY-CE-01,x2,6m,chop,87,0.6782,-0.0324,None,None,None,None
legacy,VOLATILITY-CE-01,base,12m,all,1129,0.5394,-0.0482,-0.019,87377,0.0576,False
legacy,VOLATILITY-CE-01,base,12m,bear,696,0.5905,-0.0482,None,None,None,None
legacy,VOLATILITY-CE-01,base,12m,bull,346,0.4162,-0.0426,None,None,None,None
legacy,VOLATILITY-CE-01,base,12m,chop,87,0.6207,-0.0414,None,None,None,None
legacy,VOLATILITY-CE-01,x2,12m,all,1129,0.5182,-0.0662,-0.0256,87377,0.0576,False
legacy,VOLATILITY-CE-01,x2,12m,bear,696,0.5589,-0.0662,None,None,None,None
legacy,VOLATILITY-CE-01,x2,12m,bull,346,0.4104,-0.0612,None,None,None,None
legacy,VOLATILITY-CE-01,x2,12m,chop,87,0.6207,-0.0573,None,None,None,None
legacy,VOLATILITY-CE-01,base,24m,all,877,0.5462,-0.0482,-0.0241,135592,0.0661,False
legacy,VOLATILITY-CE-01,base,24m,bear,672,0.4896,-0.0482,None,None,None,None
legacy,VOLATILITY-CE-01,base,24m,bull,126,0.9603,-0.0435,None,None,None,None
legacy,VOLATILITY-CE-01,base,24m,chop,79,0.3671,-0.0414,None,None,None,None
legacy,VOLATILITY-CE-01,x2,24m,all,877,0.4869,-0.0701,-0.0346,135592,0.0661,False
legacy,VOLATILITY-CE-01,x2,24m,bear,672,0.4375,-0.0701,None,None,None,None
legacy,VOLATILITY-CE-01,x2,24m,bull,126,0.9127,-0.0685,None,None,None,None
legacy,VOLATILITY-CE-01,x2,24m,chop,79,0.2278,-0.0573,None,None,None,None
deep,COMPOSITE-CE-01,base,6m,all,1506,0.5432,-0.1067,-0.0401,60904,0.0498,False
deep,COMPOSITE-CE-01,base,6m,bear,748,0.6952,-0.1067,None,None,None,None
deep,COMPOSITE-CE-01,base,6m,bull,664,0.3524,-0.0969,None,None,None,None
deep,COMPOSITE-CE-01,base,6m,chop,94,0.6809,-0.0741,None,None,None,None
deep,COMPOSITE-CE-01,x2,6m,all,1506,0.488,-0.1242,-0.044,60851,0.0505,False
deep,COMPOSITE-CE-01,x2,6m,bear,748,0.6497,-0.1242,None,None,None,None
deep,COMPOSITE-CE-01,x2,6m,bull,664,0.2816,-0.1024,None,None,None,None
deep,COMPOSITE-CE-01,x2,6m,chop,94,0.6596,-0.0775,None,None,None,None
deep,COMPOSITE-CE-01,base,12m,all,1380,0.6,-0.1067,-0.0486,112522,0.0507,False
deep,COMPOSITE-CE-01,base,12m,bear,746,0.7493,-0.1067,None,None,None,None
deep,COMPOSITE-CE-01,base,12m,bull,540,0.3574,-0.0969,None,None,None,None
deep,COMPOSITE-CE-01,base,12m,chop,94,0.8085,-0.0866,None,None,None,None
deep,COMPOSITE-CE-01,x2,12m,all,1380,0.5246,-0.1242,-0.054,112340,0.0522,False
deep,COMPOSITE-CE-01,x2,12m,bear,746,0.6689,-0.1242,None,None,None,None
deep,COMPOSITE-CE-01,x2,12m,bull,540,0.2963,-0.1024,None,None,None,None
deep,COMPOSITE-CE-01,x2,12m,chop,94,0.6915,-0.0998,None,None,None,None
deep,COMPOSITE-CE-01,base,24m,all,1128,0.7881,-0.1067,-0.059,181903,0.0488,True
deep,COMPOSITE-CE-01,base,24m,bear,721,0.7406,-0.1067,None,None,None,None
deep,COMPOSITE-CE-01,base,24m,bull,321,0.9159,-0.0969,None,None,None,None
deep,COMPOSITE-CE-01,base,24m,chop,86,0.7093,-0.0866,None,None,None,None
deep,COMPOSITE-CE-01,x2,24m,all,1128,0.6649,-0.1242,-0.0667,181475,0.055,False
deep,COMPOSITE-CE-01,x2,24m,bear,721,0.6172,-0.1242,None,None,None,None
deep,COMPOSITE-CE-01,x2,24m,bull,321,0.7632,-0.1091,None,None,None,None
deep,COMPOSITE-CE-01,x2,24m,chop,86,0.6977,-0.0998,None,None,None,None
deep,COMPOSITE-CE-02,base,6m,all,1506,0.4801,-0.1134,-0.0443,100558,0.0511,False
deep,COMPOSITE-CE-02,base,6m,bear,748,0.5869,-0.1134,None,None,None,None
deep,COMPOSITE-CE-02,base,6m,bull,664,0.3358,-0.1103,None,None,None,None
deep,COMPOSITE-CE-02,base,6m,chop,94,0.6489,-0.1039,None,None,None,None
deep,COMPOSITE-CE-02,x2,6m,all,1506,0.4037,-0.1297,-0.0496,100436,0.0491,False
deep,COMPOSITE-CE-02,x2,6m,bear,748,0.516,-0.1297,None,None,None,None
deep,COMPOSITE-CE-02,x2,6m,bull,664,0.244,-0.1129,None,None,None,None
deep,COMPOSITE-CE-02,x2,6m,chop,94,0.6383,-0.1065,None,None,None,None
deep,COMPOSITE-CE-02,base,12m,all,1380,0.4928,-0.1262,-0.057,186048,0.0522,False
deep,COMPOSITE-CE-02,base,12m,bear,746,0.6233,-0.1247,None,None,None,None
deep,COMPOSITE-CE-02,base,12m,bull,540,0.287,-0.1242,None,None,None,None
deep,COMPOSITE-CE-02,base,12m,chop,94,0.6383,-0.1262,None,None,None,None
deep,COMPOSITE-CE-02,x2,12m,all,1380,0.4203,-0.1614,-0.0664,185340,0.0522,False
deep,COMPOSITE-CE-02,x2,12m,bear,746,0.5389,-0.1614,None,None,None,None
deep,COMPOSITE-CE-02,x2,12m,bull,540,0.2278,-0.1573,None,None,None,None
deep,COMPOSITE-CE-02,x2,12m,chop,94,0.5851,-0.1533,None,None,None,None
deep,COMPOSITE-CE-02,base,24m,all,1128,0.6879,-0.1391,-0.0771,300351,0.0541,False
deep,COMPOSITE-CE-02,base,24m,bear,721,0.6546,-0.133,None,None,None,None
deep,COMPOSITE-CE-02,base,24m,bull,321,0.7601,-0.1391,None,None,None,None
deep,COMPOSITE-CE-02,base,24m,chop,86,0.6977,-0.1262,None,None,None,None
