family,set,sharpe,ann_ret,max_dd,n_trades
A,"[1, 6, 7, 9]",0.3272,0.029819,-0.32396,349
A,"[1, 6, 7, 10]",0.3839,0.036738,-0.330638,349
A,"[1, 6, 7, 11]",0.3505,0.033005,-0.352794,349
A,"[1, 6, 7, 12]",0.3103,0.028049,-0.34271,321
A,"[1, 6, 8, 9]",0.3416,0.031934,-0.328022,349
A,"[1, 6, 8, 10]",0.3908,0.038155,-0.335935,377
A,"[1, 6, 8, 11]",0.3588,0.034525,-0.357895,377
A,"[1, 6, 8, 12]",0.3208,0.029725,-0.34788,349
A,"[1, 6, 9, 10]",0.3406,0.03178,-0.32889,349
A,"[1, 6, 9, 11]",0.3044,0.027714,-0.353131,377
A,"[1, 6, 9, 12]",0.2654,0.023031,-0.342143,349
A,"[1, 6, 10, 11]",0.3685,0.035525,-0.358628,349
A,"[1, 6, 10, 12]",0.3238,0.029966,-0.348621,349
A,"[1, 6, 11, 12]",0.2977,0.027077,-0.368571,321
A,"[1, 7, 8, 9]",0.3343,0.030651,-0.291489,322
A,"[1, 7, 8, 10]",0.384,0.036805,-0.299814,350
A,"[1, 7, 8, 11]",0.3513,0.033171,-0.322969,350
A,"[1, 7, 8, 12]",0.3127,0.028379,-0.31244,322
A,"[1, 7, 9, 10]",0.3236,0.029424,-0.294004,350
A,"[1, 7, 9, 11]",0.2867,0.025368,-0.3195,378
A,"[1, 7, 9, 12]",0.2467,0.020689,-0.307947,350
A,"[1, 7, 10, 11]",0.3518,0.033123,-0.325288,350
A,"[1, 7, 10, 12]",0.3061,0.027576,-0.314765,350
A,"[1, 7, 11, 12]",0.2801,0.024755,-0.335739,322
A,"[1, 8, 9, 10]",0.3462,0.032466,-0.297359,322
A,"[1, 8, 9, 11]",0.3106,0.028465,-0.322727,350
A,"[1, 8, 9, 12]",0.2718,0.023772,-0.311217,322
A,"[1, 8, 10, 11]",0.3679,0.035539,-0.32974,350
A,"[1, 8, 10, 12]",0.3233,0.029972,-0.319302,350
A,"[1, 8, 11, 12]",0.2987,0.027261,-0.340125,322
A,"[1, 9, 10, 11]",0.3188,0.029334,-0.323548,322
A,"[1, 9, 10, 12]",0.2733,0.023898,-0.312079,322
A,"[1, 9, 11, 12]",0.2444,0.020739,-0.335221,322
A,"[1, 10, 11, 12]",0.3105,0.028502,-0.340984,294
A,"[2, 3, 4, 5]",0.2835,0.025781,-0.334016,293
A,"[2, 3, 4, 6]",0.3089,0.028652,-0.339519,319
A,"[2, 3, 4, 7]",0.2924,0.026404,-0.307747,320
A,"[2, 3, 4, 8]",0.3116,0.029036,-0.306272,320
A,"[2, 3, 4, 9]",0.2587,0.022568,-0.305032,320
A,"[2, 3, 4, 10]",0.3167,0.02953,-0.315156,320
A,"[2, 3, 4, 11]",0.2824,0.025638,-0.338125,320
A,"[2, 3, 4, 12]",0.24,0.020492,-0.329228,320
A,"[2, 3, 5, 6]",0.286,0.026124,-0.348746,318
A,"[2, 3, 5, 7]",0.266,0.023516,-0.318574,345
A,"[2, 3, 5, 8]",0.286,0.026176,-0.317086,345
A,"[2, 3, 5, 9]",0.2335,0.019808,-0.326805,345
A,"[2, 3, 5, 10]",0.2917,0.026736,-0.325843,345
A,"[2, 3, 5, 11]",0.2573,0.022827,-0.34846,345
A,"[2, 3, 5, 12]",0.2141,0.01765,-0.3397,345
A,"[2, 3, 6, 7]",0.3055,0.027901,-0.321837,319
A,"[2, 3, 6, 8]",0.316,0.029569,-0.321643,347
A,"[2, 3, 6, 9]",0.2616,0.02291,-0.326553,347
A,"[2, 3, 6, 10]",0.3194,0.02986,-0.33032,347
A,"[2, 3, 6, 11]",0.2857,0.026041,-0.352797,347
A,"[2, 3, 6, 12]",0.2443,0.020995,-0.34408,347
A,"[2, 3, 7, 8]",0.3074,0.028171,-0.287429,320
A,"[2, 3, 7, 9]",0.2427,0.020523,-0.301028,348
A,"[2, 3, 7, 10]",0.3014,0.02742,-0.298654,348
A,"[2, 3, 7, 11]",0.2677,0.023667,-0.322191,348
A,"[2, 3, 7, 12]",0.2261,0.018733,-0.313064,348
A,"[2, 3, 8, 9]",0.267,0.023554,-0.297668,320
A,"[2, 3, 8, 10]",0.3181,0.029772,-0.297111,348
A,"[2, 3, 8, 11]",0.2859,0.026121,-0.320703,348
A,"[2, 3, 8, 12]",0.2469,0.021341,-0.311573,348
A,"[2, 3, 9, 10]",0.2682,0.023634,-0.295898,320
A,"[2, 3, 9, 11]",0.2315,0.019545,-0.333947,348
A,"[2, 3, 9, 12]",0.1913,0.014876,-0.311755,348
A,"[2, 3, 10, 11]",0.2969,0.027296,-0.329955,320
A,"[2, 3, 10, 12]",0.2514,0.021771,-0.320905,348
A,"[2, 3, 11, 12]",0.224,0.018752,-0.341984,320
A,"[2, 4, 5, 6]",0.2454,0.021608,-0.374413,319
A,"[2, 4, 5, 7]",0.2247,0.018996,-0.345177,346
A,"[2, 4, 5, 8]",0.2455,0.021648,-0.34374,346
A,"[2, 4, 5, 9]",0.1924,0.015302,-0.340635,346
A,"[2, 4, 5, 10]",0.2508,0.022198,-0.352184,346
A,"[2, 4, 5, 11]",0.2169,0.018311,-0.373894,346
A,"[2, 4, 5, 12]",0.1732,0.013149,-0.365485,346
A,"[2, 4, 6, 7]",0.2595,0.022882,-0.349251,344
A,"[2, 4, 6, 8]",0.2709,0.024545,-0.34904,372
A,"[2, 4, 6, 9]",0.2159,0.017918,-0.344803,372
A,"[2, 4, 6, 10]",0.274,0.024841,-0.357386,372
A,"[2, 4, 6, 11]",0.2407,0.021027,-0.37896,372
A,"[2, 4, 6, 12]",0.1988,0.01601,-0.370598,372
A,"[2, 4, 7, 8]",0.2617,0.023179,-0.315752,345
A,"[2, 4, 7, 9]",0.1965,0.015568,-0.316047,373
A,"[2, 4, 7, 10]",0.2556,0.022434,-0.326498,373
A,"[2, 4, 7, 11]",0.2223,0.018693,-0.349102,373
A,"[2, 4, 7, 12]",0.1802,0.013777,-0.340353,373
A,"[2, 4, 8, 9]",0.2217,0.018595,-0.31274,345
A,"[2, 4, 8, 10]",0.2732,0.024788,-0.32504,373
A,"[2, 4, 8, 11]",0.2414,0.021154,-0.347693,373
A,"[2, 4, 8, 12]",0.2019,0.0164,-0.338893,373
A,"[2, 4, 9, 10]",0.2227,0.018679,-0.319851,345
A,"[2, 4, 9, 11]",0.1865,0.014611,-0.348258,373
A,"[2, 4, 9, 12]",0.1458,0.009971,-0.334963,373
A,"[2, 4, 10, 11]",0.2522,0.022333,-0.356546,345
A,"[2, 4, 10, 12]",0.2061,0.016824,-0.347877,373
A,"[2, 4, 11, 12]",0.1793,0.013828,-0.368118,345
A,"[2, 5, 6, 7]",0.2454,0.021382,-0.35794,319
A,"[2, 5, 6, 8]",0.2571,0.023049,-0.357751,347
A,"[2, 5, 6, 9]",0.202,0.016422,-0.36057,347
A,"[2, 5, 6, 10]",0.2601,0.023331,-0.366005,347
A,"[2, 5, 6, 11]",0.227,0.019534,-0.387249,347
A,"[2, 5, 6, 12]",0.1851,0.014523,-0.379007,347
A,"[2, 5, 7, 8]",0.2445,0.021317,-0.326027,346
A,"[2, 5, 7, 9]",0.1793,0.01371,-0.336221,374
A,"[2, 5, 7, 10]",0.2384,0.020567,-0.336604,374
A,"[2, 5, 7, 11]",0.2053,0.016838,-0.358883,374
A,"[2, 5, 7, 12]",0.1632,0.011938,-0.350247,374
A,"[2, 5, 8, 9]",0.2051,0.016782,-0.332987,346
A,"[2, 5, 8, 10]",0.2567,0.022964,-0.33518,374
A,"[2, 5, 8, 11]",0.2251,0.019336,-0.357481,374
A,"[2, 5, 8, 12]",0.1855,0.014582,-0.348823,374
A,"[2, 5, 9, 10]",0.2068,0.016948,-0.331295,346
A,"[2, 5, 9, 11]",0.1707,0.01288,-0.367427,374
A,"[2, 5, 9, 12]",0.1299,0.008242,-0.346347,374
A,"[2, 5, 10, 11]",0.2363,0.020572,-0.366182,346
A,"[2, 5, 10, 12]",0.1902,0.015081,-0.357689,374
A,"[2, 5, 11, 12]",0.1633,0.012061,-0.377614,346
A,"[2, 6, 7, 8]",0.2846,0.025831,-0.329053,320
A,"[2, 6, 7, 9]",0.219,0.018074,-0.334496,348
A,"[2, 6, 7, 10]",0.2774,0.02495,-0.344147,348
A,"[2, 6, 7, 11]",0.2442,0.02121,-0.362518,348
A,"[2, 6, 7, 12]",0.2026,0.016285,-0.353176,348
A,"[2, 6, 8, 9]",0.2353,0.02016,-0.332485,348
A,"[2, 6, 8, 10]",0.2864,0.026358,-0.339414,376
A,"[2, 6, 8, 11]",0.2546,0.022717,-0.361559,376
A,"[2, 6, 8, 12]",0.2154,0.017947,-0.352975,376
A,"[2, 6, 9, 10]",0.2345,0.020052,-0.334349,348
A,"[2, 6, 9, 11]",0.1984,0.015983,-0.366991,376
A,"[2, 6, 9, 12]",0.158,0.011328,-0.34914,376
A,"[2, 6, 10, 11]",0.2636,0.023696,-0.370222,348
A,"[2, 6, 10, 12]",0.2179,0.01819,-0.361762,376
A,"[2, 6, 11, 12]",0.1917,0.015254,-0.381576,348
A,"[2, 7, 8, 9]",0.226,0.018876,-0.304874,321
A,"[2, 7, 8, 10]",0.2776,0.025011,-0.30575,349
A,"[2, 7, 8, 11]",0.2453,0.021366,-0.329051,349
A,"[2, 7, 8, 12]",0.2053,0.01661,-0.320011,349
A,"[2, 7, 9, 10]",0.2156,0.017707,-0.305174,349
A,"[2, 7, 9, 11]",0.1789,0.013647,-0.342724,377
A,"[2, 7, 9, 12]",0.1374,0.009001,-0.320836,377
A,"[2, 7, 10, 11]",0.2452,0.021312,-0.34012,349
A,"[2, 7, 10, 12]",0.1984,0.015814,-0.331231,377
A,"[2, 7, 11, 12]",0.1724,0.012947,-0.351995,349
A,"[2, 8, 9, 10]",0.2401,0.020709,-0.301791,321
A,"[2, 8, 9, 11]",0.2046,0.0167,-0.339522,349
A,"[2, 8, 9, 12]",0.1644,0.012039,-0.317498,349
A,"[2, 8, 10, 11]",0.2632,0.02369,-0.338662,349
A,"[2, 8, 10, 12]",0.2176,0.018179,-0.329783,377
A,"[2, 8, 11, 12]",0.1928,0.015405,-0.350584,349
A,"[2, 9, 10, 11]",0.2124,0.017553,-0.337874,321
A,"[2, 9, 10, 12]",0.1655,0.012153,-0.324606,349
A,"[2, 9, 11, 12]",0.1363,0.008948,-0.351094,349
A,"[2, 10, 11, 12]",0.2044,0.016681,-0.359385,321
A,"[3, 4, 5, 6]",0.3244,0.030592,-0.340746,294
A,"[3, 4, 5, 7]",0.3047,0.027927,-0.306878,321
A,"[3, 4, 5, 8]",0.3242,0.030625,-0.311437,321
A,"[3, 4, 5, 9]",0.2727,0.024238,-0.30495,321
A,"[3, 4, 5, 10]",0.33,0.031189,-0.313516,321
A,"[3, 4, 5, 11]",0.2957,0.027278,-0.336536,321
A,"[3, 4, 5, 12]",0.2541,0.022167,-0.327813,321
A,"[3, 4, 6, 7]",0.34,0.031841,-0.312626,319
A,"[3, 4, 6, 8]",0.35,0.033544,-0.318045,347
A,"[3, 4, 6, 9]",0.2966,0.026874,-0.311619,347
A,"[3, 4, 6, 10]",0.3535,0.033842,-0.319156,347
A,"[3, 4, 6, 11]",0.3199,0.030014,-0.341994,347
A,"[3, 4, 6, 12]",0.2801,0.025057,-0.333324,347
A,"[3, 4, 7, 8]",0.3422,0.032166,-0.280797,320
A,"[3, 4, 7, 9]",0.2785,0.024496,-0.275667,348
A,"[3, 4, 7, 10]",0.3364,0.031425,-0.286419,348
A,"[3, 4, 7, 11]",0.3027,0.027661,-0.310374,348
A,"[3, 4, 7, 12]",0.2628,0.022801,-0.301307,348
A,"[3, 4, 8, 9]",0.3022,0.027557,-0.279082,320
A,"[3, 4, 8, 10]",0.3525,0.033802,-0.28742,348
A,"[3, 4, 8, 11]",0.3203,0.030142,-0.311339,348
A,"[3, 4, 8, 12]",0.2828,0.02543,-0.302281,348
A,"[3, 4, 9, 10]",0.3034,0.027636,-0.279883,320
A,"[3, 4, 9, 11]",0.2669,0.023544,-0.306226,348
A,"[3, 4, 9, 12]",0.2283,0.018951,-0.296139,348
