code,class,source,in_core48,rows,first_date,last_date,tail60_avg_amount,L1,L2,H1,F1,twin_overlap_rows,twin_close_mismatches,twin_pref_first_date
511200,债/货ETF(码段),prefixed,False,399,2025-02-07,2026-09-22,6743668522.716666,True,True,False,True,,,
511220,债/货ETF(码段),prefixed,False,2856,2014-12-16,2026-09-22,1492101242.6,True,True,True,True,,,
511260,10年国债ETF,bare,True,1631,2020-01-02,2026-09-22,3548803587.766667,True,True,True,True,1631.0,0.0,2017-08-24
511270,债/货ETF(码段),prefixed,False,1898,2018-11-22,2026-09-22,2076344978.5,True,True,True,True,,,
511360,债/货ETF(码段),prefixed,False,1452,2020-09-25,2026-09-22,29310645827.75,True,True,True,True,,,
511380,可转债ETF,prefixed,False,1570,2020-04-07,2026-09-22,6402887212.216666,True,True,True,True,,,
511520,短融ETF,prefixed,False,952,2022-10-25,2026-09-22,1586501682.9666667,True,True,True,True,,,
511580,债/货ETF(码段),prefixed,False,910,2022-12-14,2026-09-22,3768679676.9,True,True,True,True,,,
511600,债/货ETF(码段),prefixed,False,2423,2016-09-27,2026-09-22,5146658.383333334,False,False,True,True,,,
511620,债/货ETF(码段),prefixed,False,1327,2021-04-07,2026-09-22,22072077.183333334,True,False,True,True,,,
511650,债/货ETF(码段),prefixed,False,1309,2021-04-07,2026-09-22,5853631.533333333,False,False,True,True,,,
511660,债/货ETF(码段),prefixed,False,2243,2017-01-03,2026-09-22,418693423.98333335,True,True,True,True,,,
511670,债/货ETF(码段),prefixed,False,1171,2021-04-07,2026-09-22,503932.0333333333,False,False,True,True,,,
511690,债/货ETF(码段),prefixed,False,2351,2017-01-03,2026-09-22,11174723.466666667,False,False,True,True,,,
511700,债/货ETF(码段),prefixed,False,2417,2016-10-17,2026-09-22,87012766.96666667,True,True,True,True,,,
511770,债/货ETF(码段),prefixed,False,1912,2017-04-10,2026-09-22,1689729.7833333334,False,False,True,True,,,
511800,债/货ETF(码段),prefixed,False,2707,2015-08-04,2026-09-22,6272725.816666666,False,False,True,True,,,
511810,债/货ETF(码段),prefixed,False,2677,2015-09-17,2026-09-22,10113300.166666666,False,False,True,True,,,
511820,债/货ETF(码段),prefixed,False,2090,2017-01-03,2026-09-22,1617811.2833333334,False,False,True,True,,,
511830,债/货ETF(码段),prefixed,False,2651,2015-09-17,2026-09-22,546521.7333333333,False,False,True,True,,,
511850,债/货ETF(码段),prefixed,False,1327,2021-04-07,2026-09-22,56705260.71666667,True,True,True,True,,,
511860,债/货ETF(码段),prefixed,False,2672,2015-09-17,2026-09-22,5761440.133333334,False,False,True,True,,,
511880,货币ETF-银华日利,prefixed,False,3266,2013-04-18,2026-09-22,17436084211.383335,True,True,True,True,,,
511900,债/货ETF(码段),prefixed,False,2623,2015-12-09,2026-09-22,10143207.833333334,False,False,True,True,,,
511910,债/货ETF(码段),prefixed,False,1932,2016-07-04,2026-09-22,225580.15,False,False,True,True,,,
511920,债/货ETF(码段),prefixed,False,2431,2016-03-28,2026-09-22,1092359.75,False,False,True,True,,,
511930,债/货ETF(码段),prefixed,False,1705,2017-01-03,2026-09-22,499992.95,False,False,True,True,,,
511950,债/货ETF(码段),prefixed,False,1235,2019-07-25,2026-09-22,1087738.7166666666,False,False,True,True,,,
511960,债/货ETF(码段),prefixed,False,2237,2016-01-11,2026-09-22,2852727.45,False,False,True,True,,,
511970,债/货ETF(码段),prefixed,False,1812,2016-07-18,2026-09-22,833796.2,False,False,True,True,,,
511980,债/货ETF(码段),prefixed,False,2568,2015-11-02,2026-09-22,337303.01666666666,False,False,True,True,,,
511990,货币ETF-华宝添益,prefixed,False,3273,2013-04-09,2026-09-22,10190254402.716667,True,True,True,True,,,
512000,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,1128959868.9833333,True,True,True,True,1631.0,0.0,2016-09-14
512010,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,541283399.8,True,True,True,True,1630.0,0.0,2015-08-04
512020,沪市ETF(码段),prefixed,False,441,2024-12-02,2026-09-22,80703059.1,True,True,True,True,,,
512030,沪市ETF(码段),prefixed,False,271,2025-08-13,2026-09-22,3227149.35,False,False,False,True,,,
512040,沪市ETF(码段),prefixed,False,1897,2018-11-29,2026-09-22,224297431.83333334,True,True,True,True,,,
512050,沪市ETF(码段),prefixed,False,452,2024-11-15,2026-09-22,1622817349.05,True,True,True,True,,,
512060,沪市ETF(码段),prefixed,False,289,2025-07-18,2026-09-22,2562007.033333333,False,False,False,True,,,
512070,沪市ETF(码段),prefixed,False,2706,2015-08-04,2026-09-22,547066603.5666667,True,True,True,True,,,
512080,沪市ETF(码段),prefixed,False,406,2025-01-21,2026-09-22,34648397.45,True,False,True,True,,,
512090,沪市ETF(码段),prefixed,False,2019,2018-06-01,2026-09-22,95493868.76666667,True,True,True,True,,,
512100,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,4189856738.6833334,True,True,True,True,1630.0,0.0,2016-11-04
512120,沪市ETF(码段),prefixed,False,2679,2015-08-04,2026-09-22,18005067.616666667,False,False,True,True,,,
512130,沪市ETF(码段),prefixed,False,302,2025-07-01,2026-09-22,991430.0333333333,False,False,False,True,,,
512140,沪市ETF(码段),prefixed,False,96,2026-05-11,2026-09-22,12660364.033333333,False,False,False,True,,,
512150,沪市ETF(码段),prefixed,False,1862,2019-01-21,2026-09-22,722315.1666666666,False,False,True,True,,,
512160,沪市ETF(码段),prefixed,False,2042,2018-04-27,2026-09-22,2368237.0833333335,False,False,True,True,,,
512170,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,615086205.9666667,True,True,True,True,1630.0,0.0,2019-06-17
512180,沪市ETF(码段),prefixed,False,2019,2018-05-21,2026-09-22,206033.65,False,False,True,True,,,
512190,沪市ETF(码段),prefixed,False,1684,2019-09-09,2026-09-22,2600727.033333333,False,False,True,True,,,
512200,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,139498040.45,True,True,True,True,1631.0,0.0,2017-09-25
512220,沪市ETF(码段),prefixed,False,2629,2015-08-04,2026-09-22,29886529.383333333,True,False,True,True,,,
512240,沪市ETF(码段),prefixed,False,359,2025-04-07,2026-09-22,2952099.6666666665,False,False,False,True,,,
512250,沪市ETF(码段),prefixed,False,354,2025-04-14,2026-09-22,1148935.3166666667,False,False,False,True,,,
512260,沪市ETF(码段),prefixed,False,1868,2019-01-11,2026-09-22,1415900.4,False,False,True,True,,,
512290,沪市ETF(码段),prefixed,False,1786,2019-05-20,2026-09-22,159126753.01666668,True,True,True,True,,,
512330,沪市ETF(码段),prefixed,False,2707,2015-08-04,2026-09-22,17200905.55,False,False,True,True,,,
512360,沪市ETF(码段),prefixed,False,1901,2018-07-20,2026-09-22,113348.61666666667,False,False,True,True,,,
512370,沪市ETF(码段),prefixed,False,268,2025-08-18,2026-09-22,3757765.5,False,False,False,True,,,
512380,沪市ETF(码段),prefixed,False,1797,2019-04-30,2026-09-22,2638009.433333333,False,False,True,True,,,
512390,沪市ETF(码段),prefixed,False,1877,2018-07-13,2026-09-04,941501.8166666667,False,False,True,False,,,
512400,沪市ETF(码段),bare,True,1631,2020-01-02,2026-09-22,1059209496.0333333,True,True,True,True,1631.0,0.0,2017-09-01
512410,沪市ETF(码段),prefixed,False,55,2026-07-08,2026-09-22,20981020.454545453,True,False,False,True,,,
512420,沪市ETF(码段),prefixed,False,33,2026-08-07,2026-09-22,8479204.606060605,False,False,False,True,,,
512430,沪市ETF(码段),prefixed,False,100,2026-04-30,2026-09-22,1906386.6333333333,False,False,False,True,,,
512450,沪市ETF(码段),prefixed,False,120,2026-04-01,2026-09-22,4727279.366666666,False,False,False,True,,,
512460,沪市ETF(码段),prefixed,False,128,2026-03-20,2026-09-22,17311707.233333334,False,False,False,True,,,
512480,沪市ETF(码段),bare,True,1630,2020-01-02,2026-09-22,1758139690.45,True,True,True,True,1630.0,0.0,2019-06-12
512500,沪市ETF(码段),prefixed,False,2707,2015-08-04,2026-09-22,580598597.5166667,True,True,True,True,,,
512510,沪市ETF(码段),prefixed,False,2707,2015-08-04,2026-09-22,17107656.483333334,False,False,True,True,,,
512520,沪市ETF(码段),prefixed,False,2029,2018-05-18,2026-09-22,588062.5,False,False,True,True,,,
512530,沪市ETF(码段),prefixed,False,1698,2019-09-23,2026-09-22,7997013.166666667,False,False,True,True,,,
512550,沪市ETF(码段),prefixed,False,2218,2017-08-07,2026-09-22,7840666.866666666,False,False,True,True,,,
512560,沪市ETF(码段),prefixed,False,2221,2017-07-28,2026-09-22,56444885.28333333,True,True,True,True,,,
512570,沪市ETF(码段),prefixed,False,2211,2017-08-11,2026-09-22,180084474.98333332,True,True,True,True,,,
512580,沪市ETF(码段),prefixed,False,2316,2017-02-28,2026-09-22,8638301.783333333,False,False,True,True,,,
512600,沪市ETF(码段),prefixed,False,2664,2015-08-04,2026-09-22,16113787.616666667,False,False,True,True,,,
512620,沪市ETF(码段),prefixed,False,205,2025-11-21,2026-09-22,14841570.783333333,False,False,False,True,,,
512630,沪市ETF(码段),prefixed,False,227,2025-10-22,2026-09-22,177463539.31666666,True,True,False,True,,,
512640,沪市ETF(码段),prefixed,False,2444,2015-08-04,2026-09-22,4116252.0833333335,False,False,True,True,,,
512650,沪市ETF(码段),prefixed,False,1678,2019-10-25,2026-09-22,4073512.45,False,False,True,True,,,
