code,face,sharpe,ann,mdd,n_round_trips,n_entries,skill_line,line_ok,ci_ok,trade_entries_ok,g1_pass,gate_a,chop_grid_cum,chop_passive_cum,capture_rate_total,harvest_pnl,whipsaw_pnl,max_corr_vs_registered,vs_registered_argmax,registered_ok,survivor_science,paper_candidate,x2_sharpe,x2_gate_a,note
511010,null_layout,0.516838416890089,0.0012327813316128644,,39,,,,,,,,,,,,,,,,,,,,seed=62543 offset=-0.043312
511010,null_layout,0.6232712894413385,0.0015977124832156075,,46,,,,,,,,,,,,,,,,,,,,seed=62544 offset=0.218593
511010,null_layout,0.5722924223635116,0.0012664409382587838,,38,,,,,,,,,,,,,,,,,,,,seed=62545 offset=-0.12063
511010,null_layout,0.58176916677874,0.0015693781908392435,,48,,,,,,,,,,,,,,,,,,,,seed=62546 offset=0.147746
511010,null_layout,0.6845899449708126,0.0018416302510062543,,53,,,,,,,,,,,,,,,,,,,,seed=62547 offset=0.458967
511010,null_layout,0.6259795479489185,0.002103868702857614,,62,,,,,,,,,,,,,,,,,,,,seed=62548 offset=0.91531
511010,null_layout,0.5797673367987275,0.000999867542671895,,31,,,,,,,,,,,,,,,,,,,,seed=62549 offset=-0.685148
passive_bh_510300,passive_bh,0.1639476902984862,,,,,,,,,,,,,,,,,,,,,,,"buy-hold, one-time 13bp entry cost (J8 precedent)"
passive_bh_159915,passive_bh,0.4645610816649226,,,,,,,,,,,,,,,,,,,,,,,"buy-hold, one-time 13bp entry cost (J8 precedent)"
passive_bh_512880,passive_bh,0.13955845412607085,,,,,,,,,,,,,,,,,,,,,,,"buy-hold, one-time 13bp entry cost (J8 precedent)"
passive_bh_518880,passive_bh,0.9327231885408352,,,,,,,,,,,,,,,,,,,,,,,"buy-hold, one-time 13bp entry cost (J8 precedent)"
passive_bh_511010,passive_bh,1.2384663316937004,,,,,,,,,,,,,,,,,,,,,,,"buy-hold, one-time 13bp entry cost (J8 precedent)"
