name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_default_p0.05_s30,random_baseline,default,ok,925,281,-0.0101,-0.0554,-0.4002,0.547,1.2366,0.1286,-0.077,,,False,,,,,p=0.05 seed=40030
rand_default_p0.05_s31,random_baseline,default,ok,852,256,-0.0267,-0.2601,-0.3258,0.5411,0.2331,0.0192,-0.0797,,,False,,,,,p=0.05 seed=40031
rand_default_p0.05_s32,random_baseline,default,ok,858,247,0.0054,0.1097,-0.2282,0.5594,0.4441,0.0334,-0.0557,,,False,,,,,p=0.05 seed=40032
rand_default_p0.05_s33,random_baseline,default,ok,874,257,-0.016,-0.1318,-0.34,0.5538,0.7187,0.0703,-0.0765,,,False,,,,,p=0.05 seed=40033
rand_default_p0.05_s34,random_baseline,default,ok,827,246,-0.011,-0.1024,-0.2859,0.5466,0.7575,0.0612,-0.0693,,,False,,,,,p=0.05 seed=40034
rand_default_p0.05_s35,random_baseline,default,ok,824,254,0.0043,0.0972,-0.1802,0.5692,0.7628,0.0593,-0.0771,,,False,,,,,p=0.05 seed=40035
rand_default_p0.05_s36,random_baseline,default,ok,826,268,-0.0191,-0.1833,-0.2071,0.5593,0.1073,0.0057,-0.1243,,,False,,,,,p=0.05 seed=40036
rand_default_p0.05_s37,random_baseline,default,ok,845,269,0.0088,0.1562,-0.2451,0.5657,0.7431,0.059,-0.0526,,,False,,,,,p=0.05 seed=40037
rand_default_p0.05_s38,random_baseline,default,ok,811,262,-0.0332,-0.3391,-0.2523,0.5376,0.1415,0.0095,-0.1229,,,False,,,,,p=0.05 seed=40038
rand_default_p0.05_s39,random_baseline,default,ok,870,264,0.0016,0.0709,-0.3161,0.5517,0.8869,0.0746,-0.0811,,,False,,,,,p=0.05 seed=40039
