cell,leg,family,regime,kind,sharpe_full,annual_return,max_drawdown,worst_year,is2_sharpe,is2_annual,deep_sharpe,wide_sharpe,x2_full_sharpe,x3_full_sharpe,n_trades,n_entries,turnover,win_rate,margin_usage_max_ratio,line,line_ok,ci_ok,pass_v2
null_27,,random,r20,null,-0.3679,-0.2516,-0.9968,-0.7952,-0.3209,-0.0332,-0.5492,-0.124,,,490,241,2749402950.0,0.4337,,,,,
null_28,,random,r20,null,-0.4754,-0.251,-0.997,-0.7757,0.3018,0.0158,-0.4218,-0.6342,,,428,210,1477843700.0,0.4495,,,,,
null_29,,random,r20,null,-0.0732,-0.1668,-0.9908,-0.7536,-0.1536,-0.0353,0.1031,-0.2725,,,959,477,14424476720.0,0.4419,,,,,
null_30,,random,r20,null,-0.0158,-0.1452,-0.9792,-0.7288,0.5054,0.1334,-0.1232,0.1094,,,907,452,5287013360.0,0.4615,,,,,
null_31,,random,r20,null,-0.039,-0.1505,-0.9949,-0.8012,-0.5986,-0.1849,0.1297,-0.224,,,893,440,11461022630.0,0.457,,,,,
null_32,,random,r20,null,0.1578,-0.0665,-0.9275,-0.6872,0.2196,0.0099,0.1782,0.1434,,,1398,659,34586997350.0,0.4736,,,,,
null_33,,random,r20,null,0.0902,-0.1004,-0.9516,-0.7385,0.5692,0.1744,0.0349,0.1519,,,1006,510,5044552250.0,0.4395,,,,,
null_34,,random,r20,null,0.0444,-0.1287,-0.9948,-0.7783,0.3169,0.045,-0.0347,0.1349,,,1050,507,13508072840.0,0.4622,,,,,
null_35,,random,r20,null,0.367,0.0425,-0.9154,-0.6183,-0.0449,-0.1571,0.2652,0.4568,,,1584,693,73955400830.0,0.44,,,,,
null_36,,random,r20,null,-0.3598,-0.2196,-0.9918,-0.8006,-0.8443,-0.1368,-0.2505,-0.5527,,,558,274,1794985750.0,0.4049,,,,,
null_37,,random,r20,null,0.5062,0.1335,-0.8626,-0.5932,1.7321,1.0729,0.5803,0.44,,,1548,707,125528251760.0,0.4614,,,,,
null_38,,random,r20,null,-0.075,-0.1582,-0.9813,-0.8915,0.9505,0.1632,0.1755,-0.3691,,,971,457,12423883970.0,0.463,,,,,
null_39,,random,r20,null,-0.1308,-0.1802,-0.9865,-0.8251,0.0292,-0.0079,0.1131,-0.4074,,,904,447,7185266170.0,0.4661,,,,,
null_40,,random,r20,null,-0.3852,-0.2408,-0.9948,-0.7811,0.3535,0.0238,-0.5592,-0.1427,,,408,204,1326873010.0,0.402,,,,,
null_41,,random,r20,null,-0.2753,-0.2088,-0.9931,-0.7128,-0.4646,-0.064,-0.4299,-0.0494,,,583,288,1268652120.0,0.4508,,,,,
null_42,,random,r20,null,-0.253,-0.2173,-0.9952,-0.8942,-0.7992,-0.1368,-0.4709,0.1456,,,530,264,2157476160.0,0.4436,,,,,
null_43,,random,r20,null,-0.1942,-0.188,-0.9903,-0.7466,-0.3817,-0.0626,-0.2232,-0.1673,,,619,308,3036957830.0,0.4534,,,,,
null_44,,random,r20,null,-0.0845,-0.1714,-0.9951,-0.9271,-0.8172,-0.282,-0.2348,0.1199,,,795,393,7753916730.0,0.4552,,,,,
null_45,,random,r20,null,0.0851,-0.1083,-0.9736,-0.8069,-1.3932,-0.6643,0.3137,-0.109,,,1376,663,57834914470.0,0.4348,,,,,
null_46,,random,r20,null,-0.1833,-0.1933,-0.9907,-0.7026,0.0665,-0.0015,-0.2408,-0.1208,,,736,363,4332276860.0,0.437,,,,,
null_47,,random,r20,null,0.32,0.003,-0.9559,-0.6247,0.7262,0.2838,0.2717,0.3558,,,1600,705,46488502710.0,0.4413,,,,,
null_48,,random,r20,null,-0.3131,-0.2213,-0.9986,-0.8862,0.5069,0.0495,-0.7086,0.6627,,,333,169,699009310.0,0.439,,,,,
null_49,,random,r20,null,0.3219,0.0189,-0.8493,-0.5742,0.7166,0.2764,-0.0161,0.6207,,,1431,685,40315981890.0,0.4504,,,,,
passive_long_r20,,passive_long,passive_long_r20,passive,0.6293,0.1978,-0.9899,-0.7275,1.2102,0.8968,0.1822,0.9987,,,3352,1005,77880191350.0,0.5812,,,,,
passive_long_monthly,,passive_long,passive_long_monthly,passive,0.6093,0.1778,-0.9891,-0.7283,1.3185,1.0939,0.1296,1.0029,,,2951,964,43595954130.0,0.5788,,,,,
