code,board,first,last,ok_static,exclude_reason
000880,main,1998-04-02,2026-09-22,True,
000881,main,1998-09-02,2026-09-22,False,r1_loss
000882,main,1998-06-16,2026-09-22,False,r1_loss
000883,main,1998-05-19,2026-09-22,True,
000885,main,1999-03-19,2026-09-22,True,
000886,main,1998-01-23,2026-09-22,True,
000887,main,1998-12-03,2026-09-22,True,
000888,main,1997-10-21,2026-09-22,True,
000889,main,1997-12-18,2026-09-22,False,r1_loss
000890,main,1999-01-19,2026-09-22,False,r1_loss
000892,main,1999-01-15,2026-09-22,False,r1_loss
000893,main,1998-12-24,2026-09-22,True,
000895,main,1998-12-10,2026-09-22,True,
000897,main,1999-04-22,2026-09-22,False,r1_loss
000898,main,1997-12-25,2026-09-22,False,r1_loss
000899,main,1997-11-26,2026-09-22,True,
000900,main,1999-01-28,2026-09-22,True,
000901,main,1999-04-01,2026-09-22,True,
000902,main,1999-04-08,2026-09-22,True,
000903,main,1999-04-15,2026-09-22,False,r1_loss+r2_st
000905,main,1999-04-29,2026-09-22,True,
000906,main,1999-07-07,2026-09-22,True,
000908,main,1999-02-03,2026-09-22,False,r1_loss
000909,main,1999-05-07,2026-09-22,False,r1_loss+r2_st
000910,main,1999-06-30,2026-09-22,False,r1_loss
000911,main,1999-05-27,2026-09-22,False,r1_loss+r2_st
000912,main,1999-06-03,2026-09-22,True,
000913,main,1999-05-14,2026-09-22,True,
000915,main,1999-06-09,2026-09-22,True,
000917,main,1999-03-25,2026-09-22,True,
000919,main,1999-11-18,2026-09-22,True,
000920,main,1999-06-16,2026-09-22,True,
000921,main,1999-07-13,2026-09-22,True,
000922,main,1999-06-18,2026-09-22,True,
000923,main,1999-07-14,2026-09-22,True,
000925,main,1999-06-11,2026-09-22,False,r1_loss
000926,main,1999-06-18,2026-09-22,False,r1_loss
000927,main,1999-07-27,2026-09-22,True,
000928,main,1999-03-12,2026-09-22,True,
000929,main,1999-06-23,2026-09-22,False,r1_loss
000930,main,1999-07-12,2026-09-22,False,r1_loss
000931,main,1999-07-12,2026-09-22,False,r1_loss
000932,main,1999-08-03,2026-09-22,True,
000933,main,1999-08-31,2026-09-22,True,
000935,main,1999-08-24,2026-09-22,True,
000936,main,1999-08-10,2026-09-22,False,r1_loss
000937,main,1999-09-09,2026-09-22,True,
000938,main,1999-11-04,2026-09-22,True,
000948,main,1999-10-14,2026-09-22,True,
000949,main,1999-10-21,2026-09-22,True,
000950,main,1999-09-16,2026-09-22,True,
000951,main,1999-11-25,2026-09-22,True,
000952,main,1999-11-12,2026-09-22,False,r1_loss
000953,main,1999-12-02,2026-09-22,True,
000955,main,1999-12-09,2026-09-22,False,r1_loss
000957,main,2000-01-13,2026-09-22,True,
000958,main,1999-12-23,2026-09-22,True,
000959,main,1999-12-16,2026-09-22,True,
000960,main,2000-02-21,2026-09-22,True,
000962,main,2000-01-20,2026-09-22,True,
000963,main,2000-01-27,2026-09-22,True,
000965,main,2000-04-06,2026-09-22,False,r1_loss
000966,main,2000-03-16,2026-09-22,False,r1_loss
000967,main,2000-03-30,2026-09-22,True,
000968,main,2000-06-22,2026-09-22,True,
000969,main,2000-05-29,2026-09-22,True,
000970,main,2000-04-20,2026-09-22,True,
000972,main,2000-09-26,2026-09-22,False,r1_loss
000973,main,2000-05-25,2026-09-22,True,
000975,main,2000-06-08,2026-09-22,True,
000977,main,2000-06-08,2026-09-22,True,
000978,main,2000-05-18,2026-09-22,True,
000980,main,2000-06-16,2026-09-22,False,r1_loss
000981,main,2000-06-22,2026-09-22,True,
000983,main,2000-07-26,2026-09-22,True,
000985,main,2000-07-26,2026-09-22,True,
000987,main,2000-07-18,2026-09-22,True,
000988,main,2000-06-08,2026-09-22,True,
000989,main,2000-06-28,2026-09-22,True,
000990,main,2000-07-06,2026-09-22,False,r1_loss
000993,main,2000-07-31,2026-09-22,True,
000995,main,2000-08-07,2026-09-22,True,
000997,main,2000-08-07,2026-09-22,True,
000998,main,2000-12-11,2026-09-22,True,
000999,main,2000-03-09,2026-09-22,True,
001201,main,2021-04-28,2026-09-22,False,r1_loss
001202,main,2021-04-29,2026-09-22,True,
001203,main,2021-05-10,2026-09-22,True,
001205,main,2021-05-13,2026-09-22,True,
001206,main,2021-05-18,2026-09-22,True,
001207,main,2021-06-23,2026-09-22,True,
001208,main,2021-06-24,2026-09-22,True,
001209,main,2021-07-23,2026-09-22,True,
001210,main,2021-07-29,2026-09-22,True,
001211,main,2021-08-05,2026-09-22,False,r1_loss
001212,main,2021-08-23,2026-09-22,False,r1_loss
001213,main,2021-09-08,2026-09-22,True,
001215,main,2021-09-06,2026-09-22,True,
001216,main,2021-10-19,2026-09-22,True,
001217,main,2021-09-29,2026-09-22,False,r1_loss
001218,main,2021-10-15,2026-09-22,True,
001219,main,2021-10-21,2026-09-22,True,
001220,main,2026-02-03,2026-09-22,True,
001221,main,2025-07-30,2026-09-22,True,
001222,main,2022-08-18,2026-09-22,True,
001223,main,2022-12-12,2026-09-22,False,r1_loss
001225,main,2023-02-22,2026-09-22,True,
001226,main,2022-06-22,2026-09-22,True,
001227,main,2022-01-17,2026-09-22,True,
001228,main,2022-04-29,2026-09-22,True,
001229,main,2022-08-08,2026-09-22,True,
001230,main,2022-07-15,2026-09-22,True,
001231,main,2022-08-19,2026-09-22,True,
001232,main,2026-08-04,2026-09-22,True,
001233,main,2025-11-25,2026-09-22,True,
001234,main,2022-01-11,2026-09-22,True,
001236,main,2022-08-05,2026-09-22,True,
001237,main,2026-05-22,2026-09-22,True,
001238,main,2022-09-19,2026-09-22,True,
001239,main,2023-12-12,2026-09-22,False,r1_loss
001248,main,2026-07-02,2026-09-22,True,
001255,main,2022-09-30,2026-09-22,True,
001256,main,2022-12-05,2026-09-22,True,
001257,main,2026-03-31,2026-09-22,True,
001258,main,2022-07-27,2026-09-22,True,
001259,main,2022-08-31,2026-09-22,True,
001260,main,2023-02-16,2026-09-22,True,
001266,main,2022-02-28,2026-09-22,True,
001267,main,2021-11-17,2026-09-22,True,
001268,main,2022-06-30,2026-09-22,False,r1_loss
001269,main,2022-09-30,2026-09-22,False,r1_loss
001270,main,2022-06-06,2026-09-22,True,
001277,main,2024-09-03,2026-09-22,True,
001278,main,2023-03-08,2026-09-22,False,r1_loss
001279,main,2024-10-11,2026-09-22,True,
001280,main,2025-12-03,2026-09-22,True,
001282,main,2023-05-24,2026-09-22,True,
001283,main,2022-09-05,2026-09-22,True,
001285,main,2025-09-30,2026-09-22,True,
001286,main,2023-04-10,2026-09-22,True,
001287,main,2023-04-10,2026-09-22,True,
001288,main,2021-11-01,2026-09-22,True,
001289,main,2022-01-24,2026-09-22,True,
001296,main,2021-12-24,2026-09-22,True,
001298,main,2022-10-31,2026-09-22,True,
001299,main,2022-10-31,2026-09-22,True,
001300,main,2022-10-19,2026-09-22,False,r1_loss
001301,main,2022-12-28,2026-09-22,True,
001306,main,2023-11-16,2026-09-22,False,r1_loss
001308,main,2022-03-18,2026-09-22,True,
001309,main,2022-07-01,2026-09-22,True,
001311,main,2023-02-27,2026-09-22,True,
001312,main,2026-04-21,2026-09-22,True,
001313,main,2022-02-16,2026-09-22,True,
